"","Age","Temperature"
"288",0.3503,1.70836595975579
"289",0.352,1.70644169522729
"290",0.353,1.70497770863025
"291",0.3536,1.7039788874073
"292",0.355,1.70129070242994
"293",0.356,1.69905863296891
"294",0.3569,1.69682335816665
"295",0.357,1.6965615765991
"296",0.36,1.68743523868656
"297",0.3602,1.68673760049617
"298",0.362,1.67994337100176
"299",0.363,1.67576166657111
"300",0.364,1.67128340142745
"301",0.365,1.66650624325466
"302",0.366,1.66143622825584
"303",0.3668,1.65717490119787
"304",0.368,1.65045056440134
"305",0.3685,1.64753391757808
"306",0.3716,1.62801653338725
"307",0.372,1.62532590842678
"308",0.3733,1.6163238919303
"309",0.375,1.60398163840632
"310",0.376,1.59643425009947
"311",0.3771,1.58789838634872
"312",0.378,1.58073975995778
"313",0.3799,1.56513893352043
"314",0.38,1.56430029475989
"315",0.382,1.54718143584202
"316",0.3832,1.53661129821398
"317",0.384,1.52944877011519
"318",0.3865,1.50651973334748
"319",0.388,1.4924044532516
"320",0.389,1.48286223531784
"321",0.3898,1.47515889756298
"322",0.392,1.4536920297852
"323",0.3931,1.44282341629893
"324",0.395,1.42387867194104
"325",0.396,1.41383621913476
"326",0.3964,1.40980795840355
"327",0.3979,1.39465584029356
"328",0.398,1.39364355584501
"329",0.3987,1.38655172769173
"330",0.4,1.37336181139077
"331",0.4009,1.36422343433873
"332",0.401,1.36320802676596
"333",0.4017,1.35610130995528
"334",0.4033,1.33987667870869
"335",0.404,1.33279349883411
"336",0.4046,1.32673258729609
"337",0.405,1.32269823759012
"338",0.406,1.31263811170597
"339",0.4075,1.29763172034774
"340",0.408,1.2926560585643
"341",0.409,1.28275049868435
"342",0.41,1.27291285465384
"343",0.4106,1.26704627859285
"344",0.412,1.25347416085365
"345",0.4125,1.24866974428454
"346",0.413,1.24388947911856
"347",0.416,1.21577256726266
"348",0.4162,1.21393576521731
"349",0.4179,1.19853454549135
"350",0.418,1.19764087287029
"351",0.419,1.18878350049709
"352",0.4198,1.18180514149225
"353",0.42,1.18007601757301
"354",0.423,1.15493510462416
"355",0.424,1.14690929201197
"356",0.425,1.13907435734412
"357",0.426,1.13143854238256
"358",0.4271,1.12327892628454
"359",0.428,1.11679702550323
"360",0.43,1.10305033551875
"361",0.431,1.09653302327425
"362",0.4312,1.09525910836298
"363",0.432,1.09026401365595
"364",0.4344,1.07628056351785
"365",0.436,1.06783501004317
"366",0.438,1.05832348288355
"367",0.44,1.0500347136247
"368",0.441,1.04636935714965
"369",0.4417,1.04399964739023
"370",0.444,1.0373878717918
"371",0.445,1.0350928435508
"372",0.4453,1.03447477652659
"373",0.447,1.03160031408391
"374",0.448,1.03041916637247
"375",0.45,1.02922813116484
"376",0.452,1.02963177307294
"377",0.4526,1.03005845662448
"378",0.454,1.03158757552629
"379",0.4545,1.03231154127758
"380",0.455,1.03312748070926
"381",0.456,1.0350313692962
"382",0.4577,1.03908062128852
"383",0.46,1.04612627592222
"384",0.461,1.0497297341279
"385",0.4613,1.05087271188948
"386",0.464,1.06240312033986
"387",0.4645,1.06477650711883
"388",0.465,1.06722185781729
"389",0.467,1.07770262973537
"390",0.468,1.08334860001949
"391",0.4686,1.08686136140468
"392",0.469,1.08925427803051
"393",0.471,1.10181269498651
"394",0.472,1.10844938026709
"395",0.4723,1.1104851576326
"396",0.474,1.12239760807332
"397",0.475,1.12969305733845
"398",0.4759,1.13643329452871
"399",0.476,1.13719213406215
"400",0.478,1.15276881374178
"401",0.4795,1.16492605735888
"402",0.48,1.16906352258286
"403",0.481,1.17746005464036
"404",0.482,1.18601203776021
"405",0.483,1.19471141493297
"406",0.484,1.20355023117751
"407",0.4849,1.21161768155479
"408",0.485,1.2125203705405
"409",0.487,1.23082275683038
"410",0.488,1.24013890219576
"411",0.49,1.25906107989229
"412",0.4914,1.27250855236691
"413",0.492,1.27831625916773
"414",0.493,1.28804865761217
"415",0.495,1.30768300155476
"416",0.496,1.31756890775301
"417",0.497,1.32748993184696
"418",0.4973,1.33047189645997
"419",0.498,1.33743807490225
"420",0.5,1.35738358371124
"421",0.501,1.36736488877221
"422",0.502,1.37734122710382
"423",0.503,1.38730456032698
"424",0.504,1.39724690268129
"425",0.505,1.40716017307276
"426",0.5058,1.41506449217094
"427",0.506,1.41703639693497
"428",0.508,1.43664556971912
"429",0.511,1.46558079902002
"430",0.512,1.47506621427277
"431",0.513,1.48445841891514
"432",0.516,1.51199555256675
"433",0.5168,1.51915729894502
"434",0.517,1.52093474201163
"435",0.52,1.54692027521315
"436",0.521,1.55527804259876
"437",0.523,1.57148944512322
"438",0.524,1.57932697577446
"439",0.525,1.58697507083737
"440",0.526,1.59442566571915
"441",0.528,1.60870238207986
"442",0.5295,1.61883187412553
"443",0.53,1.62209292446446
"444",0.531,1.62843584486314
"445",0.532,1.63453313528658
"446",0.535,1.65127124706507
"447",0.536,1.65630595411976
"448",0.54,1.67350742327215
"449",0.541,1.67703340281955
"450",0.5422,1.68083377779857
"451",0.544,1.68563710082599
"452",0.545,1.6878469746659
"453",0.548,1.69257035466762
"454",0.549,1.69352644152202
"455",0.55,1.69418184715534
"456",0.552,1.69461116280378
"457",0.554,1.69389914848733
"458",0.5549,1.69321730299426
"459",0.556,1.69208677175676
"460",0.558,1.68921488713787
"461",0.56,1.68532441358325
"462",0.562,1.68045627782108
"463",0.564,1.67465138164497
"464",0.565,1.67141041464504
"465",0.567,1.66427708448317
"466",0.5676,1.6619724627003
"467",0.568,1.66039489862346
"468",0.5707,1.64891095200007
"469",0.571,1.64754773699869
"470",0.572,1.64288219872279
"471",0.5735,1.63554224572903
"472",0.574,1.6330070399703
"473",0.575,1.62780765211136
"474",0.576,1.62244055274238
"475",0.577,1.61691084607218
"476",0.578,1.61122362669491
"477",0.579,1.6053840550554
"478",0.58,1.59939722836633
"479",0.5805,1.59635013138209
"480",0.5821,1.58636821173872
"481",0.583,1.58060419115809
"482",0.584,1.57407940032657
"483",0.5846,1.57010577076454
"484",0.585,1.56743290572167
"485",0.587,1.55379529692046
"486",0.588,1.54681437616191
"487",0.5883,1.54470015397113
"488",0.5898,1.53399703779336
"489",0.5915,1.52161741673153
"490",0.592,1.51792941358913
"491",0.593,1.51049341004559
"492",0.5954,1.49234792187053
"493",0.596,1.48775171288918
"494",0.5967,1.48236212082845
"495",0.6,1.45660858478047
"496",0.6009,1.44950177600808
"497",0.601,1.44871029752643
"498",0.604,1.42482724309226
