Lineage,Speciation_Rate,Extinction_Rate,Net.diversification_Rate,Taxonomic.group,Biogeographic.origin,Habitat,tip_names
Nyctibatrachidae,0.080523596671637,0.00469497829209671,0.0758286183795403,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_acanthodermis_CESF2501
Nyctibatrachidae,0.0794109236465643,0.00463010320063476,0.0747808204459296,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_gavi_CESF1733
Nyctibatrachidae,0.0796777711973705,0.00464566191274052,0.07503210928463,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_grandis_CESF893
Nyctibatrachidae,0.0889323735638573,0.00518525724887318,0.0837471163149842,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_sylvaticus_CESF920
Nyctibatrachidae,0.0888227554476682,0.00517886589655906,0.0836438895511092,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_indraneili_CESF1836
Nyctibatrachidae,0.0760517471305288,0.00443424432852774,0.071617502802001,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeLankanectes_corrugatus
Pseudophilautus,0.068654296414694,0.0401478051323044,0.0285064912823897,Herpetofauna,Asian,Wet,Pseudophilautus_papillosus
Pseudophilautus,0.0588678254169808,0.034424851856724,0.0244429735602568,Herpetofauna,Asian,Wet,Pseudophilautus_reticulatus
Pseudophilautus,0.0718804924924861,0.0420344269202174,0.0298460655722687,Herpetofauna,Asian,Wet,Pseudophilautus_silus
Pseudophilautus,0.0640752411015859,0.0374700554501831,0.0266051856514028,Herpetofauna,Asian,Wet,Pseudophilautus_fulvus
Pseudophilautus,0.0712870788486689,0.0416874092304443,0.0295996696182246,Herpetofauna,Asian,Wet,Pseudophilautus_microtympanum
Pseudophilautus,0.0602606476550659,0.0352393494004875,0.0250212982545784,Herpetofauna,Asian,Wet,Pseudophilautus_steineri
Pseudophilautus,0.047789855676024,0.027946653205688,0.019843202470336,Herpetofauna,Asian,Wet,Pseudophilautus_sordidus
Pseudophilautus,0.0488380233647317,0.0285596029307573,0.0202784204339744,Herpetofauna,Asian,Wet,Pseudophilautus_macropus
Pseudophilautus,0.0840439068662811,0.0491473741868079,0.0348965326794732,Herpetofauna,Asian,Wet,Pseudophilautus_conniffae
Pseudophilautus,0.0606471686382569,0.035465379961182,0.0251817886770749,Herpetofauna,Asian,Wet,Pseudophilautus_frankenbergi
Pseudophilautus,0.0563227421776488,0.0329365326797128,0.0233862094979359,Herpetofauna,Asian,Wet,Pseudophilautus_cf_frankenbergi
Pseudophilautus,0.0426132237953716,0.0249194514304233,0.0176937723649483,Herpetofauna,Asian,Wet,Pseudophilautus_poppiae
Pseudophilautus,0.0499683906060505,0.0292206214846186,0.0207477691214319,Herpetofauna,Asian,Wet,Pseudophilautus_mooreorum
Pseudophilautus,0.0564341830121055,0.0330017012873485,0.023432481724757,Herpetofauna,Asian,Wet,Pseudophilautus_cf_mooreorum
Pseudophilautus,0.0497230367478826,0.0290771429348323,0.0206458938130504,Herpetofauna,Asian,Wet,Pseudophilautus_femoralis
Pseudophilautus,0.0689726251671103,0.040333958095592,0.0286386670715184,Herpetofauna,Asian,Wet,Pseudophilautus_sp
Pseudophilautus,0.0711480357136122,0.0416060992908955,0.0295419364227166,Herpetofauna,Asian,Wet,Pseudophilautus_stellatus
Pseudophilautus,0.0935792013060166,0.0547234439018522,0.0388557574041645,Herpetofauna,Asian,Wet,Pseudophilautus_puranappu
Pseudophilautus,0.0662525944775233,0.0387433327774064,0.0275092617001169,Herpetofauna,Asian,Wet,Pseudophilautus_fergusonianus
Pseudophilautus,0.069797751561773,0.0408164772594668,0.0289812743023061,Herpetofauna,Asian,Wet,Pseudophilautus_hallidayi
Pseudophilautus,0.0813276459228549,0.0475589533487812,0.0337686925740738,Herpetofauna,Asian,Wet,Pseudophilautus_cavirostris
